,Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),challenge level numeric
109,10/26/2021,12,6,pastry,chouxnuts,,large baklava,165.0,terrine pie,270.0,3.0
110,11/2/2021,12,7,caramel,caramel tart,150.0,10 caramel biscuit bars,90.0,domed or sphered caramel dessert,270.0,3.0
111,11/9/2021,12,8,free-from,8 dairy-free ice cream sandwiches,180.0,8 vegan sausage rolls,120.0,gluten-free celebration cake,270.0,2.0
112,11/16/2021,12,9,pâtisserie,8 pâtisserie-style layered slices,180.0,8 pâtisserie-style layered slices,165.0,themed banquet display,300.0,
113,11/23/2021,12,10,final,carrot cake,135.0,12 belgian buns,150.0,mad hatter tea party display,270.0,1.0
114,9/13/2022,13,1,cake,12 mini sandwich cakes,120.0,red velvet cake,120.0,3d cake home,240.0,2.0
115,9/20/2022,13,2,biscuit,18 decorative macarons,120.0,12 garibaldi biscuits,105.0,3d biscuit mask,240.0,1.0
116,9/27/2022,13,3,bread,2 pizzas,120.0,pain aux raisins,165.0,smörgåstårta,270.0,2.0
117,10/4/2022,13,4,mexican,12 pan dulce,150.0,steak tacos,120.0,tres leches cake,240.0,
118,10/11/2022,13,5,desserts,8 steamed puddings,120.0,lemon meringue pie,120.0,hidden surprise mousse dessert,270.0,2.0
119,10/18/2022,13,6,halloween,apple cake,120.0,s'mores,120.0,edible hanging halloween piñata lantern,240.0,2.0
120,10/25/2022,13,7,custard,floating islands,90.0,pistachio and praline ice cream,165.0,custard gâteau,240.0,2.0
121,11/1/2022,13,8,pastry,12 sweet vol-au-vents,120.0,spring rolls,80.0,3d storybook pie scene,240.0,2.0
122,11/8/2022,13,9,pâtisserie,mini charlottes,150.0,"chocolate, hazelnut, & raspberry vertical tarts",120.0,krokan,240.0,3.0
123,11/15/2022,13,10,final,seasonal picnic,180.0,summer pudding bomb,120.0,large planet themed edible sculpture,270.0,
124,9/26/2023,14,1,cake,vertical layer cake,,the signature chocolate cake with fresh raspberries,120.0,3d shaped animal cake,240.0,2.0
125,10/3/2023,14,2,biscuits,12 marshmallow biscuits,,12 custard creams,90.0,illusion biscuit meal,240.0,1.0
126,10/10/2023,14,3,bread,cottage loaf,120.0,8 devonshire splits,,plaited centrepiece loaf,,2.0
127,10/18/2023,14,4,chocolate,chocolate torte,,6 white chocolate and blackberry cheesecakes,,edible chocolate box cake,,2.0
128,10/24/2023,14,5,pastry,savoury picnic pie,,dauphinoise pithivier,165.0,decorative sweet pie display,,
129,10/31/2023,14,6,botanical,12 individual spiced buns,165.0,lemon and thyme drizzle cake,90.0,floral dessert,240.0,
130,11/7/2023,14,7,desserts,8 creme caramels,165.0,orange and ginger treacle puddings,90.0,meringue bombe,,2.0
131,11/14/2023,14,8,party,12 sausage rolls,150.0,caterpiller cake,150.0,anything but beige buffet,270.0,2.0
132,11/21/2023,14,9,patisserie,24 financiers,120.0,tart aux pommes,150.0,millefoglie,240.0,2.0
133,11/28/2023,14,10,final,8 éclairs,135.0,9 lardy cake slices,180.0,tiered celebration cake,270.0,2.0
